instance_id,lime_time_s
257,0.008419
258,0.008111
259,0.008983
260,0.007819
261,0.008227
262,0.007525
263,0.008215
264,0.007841
265,0.008842
266,0.007642
267,0.008151
268,0.008449
269,0.008133
270,0.007792
271,0.007886
272,0.007792
273,0.007562
274,0.008087
275,0.007664
276,0.008048
277,0.008069
278,0.008585
279,0.008027
280,0.008508
281,0.00778
282,0.008272
283,0.007706
284,0.008276
285,0.008356
286,0.00853
287,0.007876
288,0.008718
289,0.007738
290,0.008518
291,0.007927
292,0.008536
293,0.007695
294,0.008517
295,0.007791
296,0.00857
297,0.008305
298,0.009004
299,0.008119
300,0.008634
301,0.007808
302,0.008838
303,0.007733
304,0.00823
305,0.007665
306,0.008668
307,0.007767
308,0.008444
309,0.007707
310,0.008153
311,0.007759
312,0.008103
313,0.007754
314,0.008751
315,0.007781
316,0.00762
317,0.007952
318,0.007591
319,0.008842
320,0.008288
321,0.008247
322,0.007875
323,0.008274
324,0.008034
325,0.008095
326,0.007682
327,0.007962
328,0.007603
329,0.008231
330,0.007612
331,0.008562
332,0.007566
333,0.008088
334,0.007654
335,0.00861
336,0.007784
337,0.009326
338,0.007847
339,0.008423
340,0.007715
341,0.009047
342,0.007637
343,0.007997
344,0.007769
345,0.008231
346,0.007856
347,0.008806
348,0.00786
349,0.007724
350,0.008042
351,0.007606
352,0.008677
353,0.007985
354,0.008101
355,0.007564
356,0.008173
357,0.00735
358,0.008057
359,0.007513
360,0.008387
361,0.007485
362,0.008347
363,0.007577
364,0.008899
365,0.007755
366,0.008305
367,0.008294
368,0.008305
369,0.007533
370,0.008169
371,0.007702
372,0.008956
373,0.008209
374,0.009623
375,0.007915
376,0.008987
377,0.007958
378,0.008855
379,0.007662
380,0.009117
381,0.007948
382,0.008259
383,0.007605
384,0.008107
385,0.007553
386,0.007917
387,0.007769
388,0.008844
389,0.007658
390,0.007617
391,0.008503
392,0.00767
393,0.008074
394,0.008091
395,0.008521
396,0.007915
397,0.008543
398,0.007663
399,0.008214
400,0.007897
401,0.008412
402,0.008172
403,0.0083
404,0.007703
405,0.008537
406,0.007688
407,0.00822
408,0.00755
409,0.008266
410,0.008235
411,0.008843
412,0.007753
413,0.008376
414,0.008076
415,0.008532
416,0.007795
417,0.008731
418,0.007746
419,0.008413
420,0.007836
421,0.008444
422,0.008265
423,0.008906
424,0.009211
425,0.008226
426,0.007621
427,0.008325
428,0.007565
429,0.00908
430,0.008094
431,0.008242
432,0.007701
433,0.008102
434,0.008152
435,0.009008
436,0.007829
437,0.009296
438,0.008207
439,0.009045
440,0.007757
441,0.008962
442,0.007859
443,0.00847
444,0.008225
445,0.008781
446,0.007742
447,0.008951
448,0.008065
449,0.008416
450,0.007782
451,0.008932
452,0.007788
453,0.008312
454,0.008239
455,0.00887
456,0.007803
457,0.008767
458,0.008141
459,0.00844
460,0.007726
461,0.008348
462,0.00771
463,0.008019
464,0.007727
465,0.008087
466,0.007929
467,0.008515
468,0.007898
469,0.007711
470,0.008246
471,0.00777
472,0.008181
473,0.007723
474,0.008339
475,0.007651
476,0.008083
477,0.00767
478,0.008568
479,0.008316
480,0.008361
481,0.007615
482,0.008142
483,0.007763
484,0.008187
485,0.007627
486,0.008973
487,0.00781
488,0.008418
489,0.008326
490,0.009136
491,0.008209
492,0.009188
493,0.008066
494,0.009174
495,0.008235
496,0.008619
497,0.007702
498,0.008183
